epoch,training loss,validation loss,training acc,validation acc
1,0.750119321513921,0.4997432392205963,0.7872499998193234,0.9630031133100803
2,0.18071109685115516,0.35986653304474786,0.9468749985098839,0.9822805086812135
3,0.1053127171471715,0.307112488664143,0.9690937474370003,0.9867877153834195
4,0.07529124815482646,0.2730661152130818,0.977937500923872,0.9894442895614524
5,0.05865581531543285,0.25588254514278486,0.9821562543511391,0.9905175475680066
6,0.048950197466183454,0.25106191389837124,0.9845937471836805,0.9900757513963736
7,0.0393389078672044,0.2355730322568642,0.9877187553793192,0.9915896326519189
8,0.034625046246219426,0.22727652576710355,0.9892499968409538,0.9922827276953431
9,0.030988801445346326,0.229116644895385,0.9901250004768372,0.992534636798741
10,0.027006752497982234,0.2341805316871654,0.991499999538064,0.9921567454039611
11,0.02198180218692869,0.2192773932761611,0.993343748152256,0.9930382670477438
12,0.01895294850692153,0.22203021652100616,0.9945000037550926,0.9925975965791586
13,0.015454975771717727,0.21955206723969595,0.9955000001937151,0.9929753239531841
14,0.01308425804018043,0.22051008979746572,0.99621875397861,0.9930382707991503
15,0.012009482001303695,0.22338791518786738,0.9966249987483025,0.9926605711305041
16,0.00987981002253946,0.21821407837201984,0.9973437543958426,0.9932270648969401
17,0.010142854051082395,0.22575621556877176,0.9973125029355288,0.993352907694511
18,0.007004141705692746,0.22373718424808398,0.998781256377697,0.9937303479668659
19,0.0073908009435399435,0.23265673087488595,0.9980937596410513,0.9931641337676946
20,0.006498175498563796,0.21806327494701974,0.9982812572270632,0.9939190106051761
21,0.004968499553797301,0.233483788713698,0.998781256377697,0.9931012061529486
22,0.004475097470276523,0.23248251256210206,0.9991250112652779,0.9934158193653017
23,0.003506575769279152,0.2317317365324212,0.9994375072419643,0.9926605636248361
24,0.0028791463264496997,0.2369768538095807,0.9995000027120113,0.9934158268652633
25,0.0025055398291442543,0.2366957022601428,0.9996250048279762,0.9931012024017797
26,0.002470272007485619,0.23727727366683596,0.9997187536209822,0.9936045492238945
27,0.0017303276126767742,0.23514364286383838,0.9997500032186508,0.9937303479668659
28,0.0013490635174093768,0.23944146348053388,0.9998750016093254,0.9933529114447293
29,0.0011591400243560201,0.24226094149506663,0.9999062512069941,0.9931641375186258
30,0.0012012526485705166,0.24387415458177295,0.9999375008046627,0.9934158231152824
31,0.0008737129946894129,0.24365007135711442,0.9999687504023314,0.9931641337676946
32,0.0010696281160562648,0.24609006016099472,0.9998750016093254,0.9934158231152824
33,0.0007295127770703402,0.243721268982568,1.0,0.9934158268652633
34,0.0007010863546383916,0.24490663235367902,1.0,0.9932270648969401
35,0.0005074179084658681,0.24579504737258803,1.0,0.9936674524606679
36,0.000492450017191004,0.245607078425629,0.9999687504023314,0.9934158231152824
37,0.0008378092879866017,0.2514444597556337,0.9998437520116568,0.9936045529731631
38,0.0005526311169887776,0.24761207273791025,1.0,0.9936674524606679
39,0.00036997735196564463,0.25035046528406,1.0,0.9934158231152824
40,0.00044313962916930905,0.2507165877812896,0.9999375008046627,0.9934158268652633
41,0.0004125883251617779,0.24897474860131155,0.9999687504023314,0.9937303479668659
42,0.0003187947590959084,0.25101834396551315,1.0,0.9931012024017797
