epoch,training loss,validation loss,training acc,validation acc
43,0.00026280921929355827,0.2538143161166761,1.0,0.9937303479668659
44,0.00027595205801844713,0.25585741941418116,1.0,0.9930382670477438
45,0.00021951805297248939,0.2559700218857066,1.0,0.9934158268652633
46,0.00018701310636970447,0.2559538359298856,1.0,0.9933529114447293
47,0.00017404283516953,0.2573497459156662,1.0,0.9931012024017797
48,0.0001673943354489893,0.25763337277520004,1.0,0.9931641337676946
49,0.00015715288668616267,0.2569637651319508,1.0,0.9934158268652633
50,0.00015449628722308262,0.25850148597082434,1.0,0.9936045492238945
51,0.00014825909875071375,0.2610660936023437,1.0,0.9932270648969401
52,0.00013623770837511984,0.2600546650333723,1.0,0.9932899920391052
53,0.00013105494417686714,0.2607522901799517,1.0,0.9933529114447293
54,0.00012230719403305557,0.26078283871714736,1.0,0.9932270611462466
55,0.0001216689117882197,0.26207015569167336,1.0,0.9931012024017797
56,0.00011388092298147967,0.2625592421767924,1.0,0.9934158268652633
57,0.0001085690514628368,0.2638420694807215,1.0,0.9934787420512077
58,0.00010468125515217253,0.2629049769107398,1.0,0.9933529114447293
59,0.00010066160029964522,0.2642785175583006,1.0,0.9934158268652633
60,9.743021519170725e-05,0.26482326725858407,1.0,0.9934158268652633
61,9.113036924190965e-05,0.2651899303691389,1.0,0.9936674524606679
62,8.744267790916638e-05,0.26637524301297666,1.0,0.9932899920391052
63,8.511257726695476e-05,0.2659046746600249,1.0,0.9934787383014643
64,8.184371949937486e-05,0.26660753512416957,1.0,0.9932899882886492
65,8.156496107858402e-05,0.26832647250311986,1.0,0.9933529114447293
66,7.824074339168874e-05,0.26795882357487527,1.0,0.9934158268652633
67,7.471751234788826e-05,0.26984756591690884,1.0,0.9932899920391052
68,7.130883761874429e-05,0.2684014325244761,1.0,0.9934158268652633
69,6.63815552570668e-05,0.2686661956943357,1.0,0.9933529114447293
70,6.408683941572235e-05,0.26941282151478313,1.0,0.9934158268652633
71,6.198465689521981e-05,0.2705070783074947,1.0,0.9934158306152441
72,6.259698318444862e-05,0.27113639876710643,1.0,0.9935416495035951
73,5.858562343519225e-05,0.27176206780891415,1.0,0.993478745800951
74,5.783329993391817e-05,0.27127002411700823,1.0,0.9933529151949476
75,5.4266477206965646e-05,0.27174584915249045,1.0,0.9934787420512077
76,5.36494018774647e-05,0.2727771491333966,1.0,0.9934787383014643
77,5.045352236265899e-05,0.27385117114816165,1.0,0.9935416495035951
78,4.7908065027968405e-05,0.2731582313909678,1.0,0.9934158306152441
79,4.7231801715952315e-05,0.2738459627202374,1.0,0.9935416495035951
80,4.586940957551633e-05,0.2740778713308872,1.0,0.9933529114447293
81,4.447585087063999e-05,0.2748615681845539,1.0,0.993289995789561
82,4.211525657638049e-05,0.2750854847672911,1.0,0.9934158268652633
83,4.07893638225687e-05,0.27507660256755123,1.0,0.9934158306152441
84,3.896787086432596e-05,0.2754835046558956,1.0,0.9933529151949476
85,3.8768189142501797e-05,0.27612825451163786,1.0,0.9934787420512077
86,3.85818149197803e-05,0.27718064555850347,1.0,0.9932270723983271
87,3.6496402515240334e-05,0.2769152620458808,1.0,0.993289995789561
88,3.478435183978945e-05,0.277530276678243,1.0,0.9932270723983271
89,3.383750257057727e-05,0.2771417207690319,1.0,0.993289995789561
90,3.233369278632381e-05,0.27793990372427274,1.0,0.9935416495035951
91,3.264010592829436e-05,0.27886080378300343,1.0,0.9934158306152441
92,3.1202774948724255e-05,0.27809781667653205,1.0,0.993289995789561
93,3.1039464204241085e-05,0.27805806570746655,1.0,0.9934158306152441
94,2.9374881535204622e-05,0.2790082260240714,1.0,0.9934787420512077
95,2.9419878956105094e-05,0.2787742576901357,1.0,0.9934787420512077
96,2.835797499756154e-05,0.2794288243538454,1.0,0.9934787420512077
97,2.690561555596105e-05,0.28013652604295997,1.0,0.9935416495035951
98,2.6564130848782952e-05,0.2807793221967406,1.0,0.9935416495035951
99,2.5865926716051035e-05,0.28171637150743706,1.0,0.993289995789561
100,2.482118685520618e-05,0.2814220979780318,1.0,0.9932270686476335
